Year,Position,Driver,Car,Laps,Points
1960,7,Pierre GaslyGAS,Alpine Renault,58,6
1960,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1960,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1960,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1960,11,Alexander AlbonALB,Williams Mercedes,57,0
1960,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1960,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1960,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1960,15,Jack DoohanDOO,Alpine Renault,57,0
1960,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1960,17,Liam LawsonLAW,RB Honda RBPT,55,0
1960,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1960,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1960,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1961,1,Lando NorrisNOR,McLaren Mercedes,58,25
1961,2,Carlos SainzSAI,Ferrari,58,18
1961,3,Charles LeclercLEC,Ferrari,58,15
1961,4,Lewis HamiltonHAM,Mercedes,58,12
1961,5,George RussellRUS,Mercedes,58,10
1961,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1961,7,Pierre GaslyGAS,Alpine Renault,58,6
1961,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1961,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1961,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1961,11,Alexander AlbonALB,Williams Mercedes,57,0
1961,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1961,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1961,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1961,15,Jack DoohanDOO,Alpine Renault,57,0
1961,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1961,17,Liam LawsonLAW,RB Honda RBPT,55,0
1961,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1961,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1961,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1962,1,Lando NorrisNOR,McLaren Mercedes,58,25
1962,2,Carlos SainzSAI,Ferrari,58,18
1962,3,Charles LeclercLEC,Ferrari,58,15
1962,4,Lewis HamiltonHAM,Mercedes,58,12
1962,5,George RussellRUS,Mercedes,58,10
1962,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1962,7,Pierre GaslyGAS,Alpine Renault,58,6
1962,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1962,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1962,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1962,11,Alexander AlbonALB,Williams Mercedes,57,0
1962,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1962,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
