Year,Position,Driver,Car,Laps,Points
2017,15,Jack DoohanDOO,Alpine Renault,57,0
2017,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2017,17,Liam LawsonLAW,RB Honda RBPT,55,0
2017,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2017,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2017,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2018,1,Lando NorrisNOR,McLaren Mercedes,58,25
2018,2,Carlos SainzSAI,Ferrari,58,18
2018,3,Charles LeclercLEC,Ferrari,58,15
2018,4,Lewis HamiltonHAM,Mercedes,58,12
2018,5,George RussellRUS,Mercedes,58,10
2018,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2018,7,Pierre GaslyGAS,Alpine Renault,58,6
2018,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2018,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2018,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2018,11,Alexander AlbonALB,Williams Mercedes,57,0
2018,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2018,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2018,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2018,15,Jack DoohanDOO,Alpine Renault,57,0
2018,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2018,17,Liam LawsonLAW,RB Honda RBPT,55,0
2018,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2018,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2018,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2019,1,Lando NorrisNOR,McLaren Mercedes,58,25
2019,2,Carlos SainzSAI,Ferrari,58,18
2019,3,Charles LeclercLEC,Ferrari,58,15
2019,4,Lewis HamiltonHAM,Mercedes,58,12
2019,5,George RussellRUS,Mercedes,58,10
2019,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2019,7,Pierre GaslyGAS,Alpine Renault,58,6
2019,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2019,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2019,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2019,11,Alexander AlbonALB,Williams Mercedes,57,0
2019,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2019,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2019,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2019,15,Jack DoohanDOO,Alpine Renault,57,0
2019,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2019,17,Liam LawsonLAW,RB Honda RBPT,55,0
2019,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2019,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2019,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2020,1,Lando NorrisNOR,McLaren Mercedes,58,25
2020,2,Carlos SainzSAI,Ferrari,58,18
2020,3,Charles LeclercLEC,Ferrari,58,15
2020,4,Lewis HamiltonHAM,Mercedes,58,12
2020,5,George RussellRUS,Mercedes,58,10
2020,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2020,7,Pierre GaslyGAS,Alpine Renault,58,6
2020,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2020,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2020,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2020,11,Alexander AlbonALB,Williams Mercedes,57,0
2020,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2020,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2020,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2020,15,Jack DoohanDOO,Alpine Renault,57,0
2020,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2020,17,Liam LawsonLAW,RB Honda RBPT,55,0
2020,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2020,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2020,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2021,1,Lando NorrisNOR,McLaren Mercedes,58,25
2021,2,Carlos SainzSAI,Ferrari,58,18
2021,3,Charles LeclercLEC,Ferrari,58,15
2021,4,Lewis HamiltonHAM,Mercedes,58,12
2021,5,George RussellRUS,Mercedes,58,10
2021,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2021,7,Pierre GaslyGAS,Alpine Renault,58,6
2021,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2021,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2021,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2021,11,Alexander AlbonALB,Williams Mercedes,57,0
2021,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2021,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2021,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2021,15,Jack DoohanDOO,Alpine Renault,57,0
2021,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2021,17,Liam LawsonLAW,RB Honda RBPT,55,0
2021,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2021,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2021,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2022,1,Lando NorrisNOR,McLaren Mercedes,58,25
2022,2,Carlos SainzSAI,Ferrari,58,18
2022,3,Charles LeclercLEC,Ferrari,58,15
2022,4,Lewis HamiltonHAM,Mercedes,58,12
2022,5,George RussellRUS,Mercedes,58,10
2022,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2022,7,Pierre GaslyGAS,Alpine Renault,58,6
2022,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2022,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2022,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2022,11,Alexander AlbonALB,Williams Mercedes,57,0
2022,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2022,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2022,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2022,15,Jack DoohanDOO,Alpine Renault,57,0
2022,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2022,17,Liam LawsonLAW,RB Honda RBPT,55,0
2022,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2022,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2022,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2023,1,Lando NorrisNOR,McLaren Mercedes,58,25
2023,2,Carlos SainzSAI,Ferrari,58,18
2023,3,Charles LeclercLEC,Ferrari,58,15
2023,4,Lewis HamiltonHAM,Mercedes,58,12
2023,5,George RussellRUS,Mercedes,58,10
2023,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2023,7,Pierre GaslyGAS,Alpine Renault,58,6
2023,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2023,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2023,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2023,11,Alexander AlbonALB,Williams Mercedes,57,0
2023,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2023,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2023,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2023,15,Jack DoohanDOO,Alpine Renault,57,0
2023,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2023,17,Liam LawsonLAW,RB Honda RBPT,55,0
2023,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2023,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2023,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2024,1,Lando NorrisNOR,McLaren Mercedes,58,25
2024,2,Carlos SainzSAI,Ferrari,58,18
2024,3,Charles LeclercLEC,Ferrari,58,15
2024,4,Lewis HamiltonHAM,Mercedes,58,12
2024,5,George RussellRUS,Mercedes,58,10
2024,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2024,7,Pierre GaslyGAS,Alpine Renault,58,6
2024,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2024,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2024,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2024,11,Alexander AlbonALB,Williams Mercedes,57,0
2024,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2024,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2024,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2024,15,Jack DoohanDOO,Alpine Renault,57,0
2024,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2024,17,Liam LawsonLAW,RB Honda RBPT,55,0
2024,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2024,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2024,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
